GENUS_SPECIES,taxonomic_class
Rhizosolenia chunii,Coscinodiscophyceae
Akashiwo sanguinea,Dinophyceae
Attheya septentrionalis,Coscinodiscophyceae
Caneosphaera molischi,Prymnesiophyceae
Syracosphaera pulchra,Equisetopsida
Alexandrium tamarense,Dinophyceae
Chaetoceros anastomosans,Coscinodiscophyceae
Asterionellopsis glacialis,Fragilariophyceae
Grammatophora ,Fragilariophyceae
Chaetoceros brevis,Coscinodiscophyceae
Chaetoceros tortissimus,Coscinodiscophyceae
Prorocentrum dentatum,Dinophyceae
Dactyliosolen blavyanus,Coscinodiscophyceae
Fragilariopsis ,Bacillariophyceae
Licmophora ,Fragilariophyceae
Chaetoceros fragilis,Coscinodiscophyceae
Achnanthes longipes,Bacillariophyceae
Braarudosphaera bigelowii,"Haptophyta, classis incertae sedis"
Ephemera planamembranacea,Insecta
Prorocentrum compressum,Bacillariophyceae
Melosira spec,Coscinodiscophyceae
Chaetoceros externus,Coscinodiscophyceae
Heterocapsa triquetra,Dinophyceae
Catharus guttatus,Aves
Catharus ustulatus,Aves
Dendroica caerulescens,Aves
Catharus fuscescens,Aves
Dendroica fusca,Aves
Empidonax minimus,Aves
Hylocichla mustelina,Aves
Junco hyemalis,Aves
Pheucticus ludovicianus,Aves
Picoides pubescens,Aves
Picoides villosus,Aves
Piranga olivacea,Aves
Seiurus aurocapilla,Aves
Setophaga ruticilla,Aves
Setophaga virens,Aves
Sitta carolinensis,Aves
Sphyrapicus varius,Aves
Troglodytes hiemalis,Aves
Vireo olivaceus,Aves
Vireo philadelphicus,Aves
Vireo spec,Aves
Poecile atrcapillus,Aves
Yellow-throated Warbler,Aves
Setophaga caerulescens,Aves
Setophaga fusca,Aves
Black-capped chickadee,Aves
Blue jay,Aves
Dark-eyed junco,Aves
Downy woodpecker,Aves
Hairy woodpecker,Aves
Ovenbird,Aves
Red-eyed vireo,Aves
Rose-breasted grosbeak,Aves
White-breasted nuthatch,Kickxellomycetes
Winter wren,Aves
Wood thrush,Eurotiomycetes
Dryocopus pileatus,Aves
Hermit Thrush,Aves
Swainsons Thrush,Oligochaeta
Yellow-bellied Sapsucker,Aves
Archilochus colubris,Aves
Contopus virens,Aves
Solitary Vireo,Aves
Bonasa umbellus,Aves
Red-breasted nuthatch,Aves
Dendroica coronata,Aves
Certhia americana,Aves
Cyanocitta cristata,Aves
Carpodacus purpureus,Aves
Turdus migratorius,Aves
Mniotilta varia,Aves
Accipiter striatus,Aves
Baeolophus bicolor,Aves
Caprimulgus vociferus,Aves
Cardinalidae ,Aves
Cathartes aura,Aves
Colaptes auratus,Aves
Contopus spec,Aves
Coragyps atratus,Aves
Dendroica cerulea,Aves
Dendroica discolor,Aves
Dumetella carolinensis,Aves
Empidonax virescens,Aves
Geothlypis trichas,Aves
Helmitheros vermivorum,Aves
Melanerpus carolinus,Insecta
Melospiza melodia,Aves
Myiarchus crinitus,Aves
Oporornis formosus,Aves
Parkesia motacilla,Aves
Passerina cyanea,Aves
Pipilo spec,Aves
Piranga rubra,Aves
Poecile carolinensis,Aves
Polioptilidae ,Aves
Saxicolinae ,Aves
Sayornis spec,Aves
Sialia spec,Aves
Spizella passerina,Aves
Spizella pusilla,Aves
Thryomanes bewickii,Aves
Thryothorus ludovicianus,Aves
Trochilidae ,Aves
Vermivora cyanoptera,Aves
Vireo flavifrons,Aves
Vireo griseus,Aves
Wilsonia citrina,Aves
Zenaida macroura,Aves
Coccyzus erythropthalmus,Aves
Dendroica petechia,Aves
Bubo spec,Aves
Coccyzus americanus,Aves
Corvus spec,Aves
Megascops spec,Aves
Passer domesticus,Aves
Canthigaster solandri,Actinopteri
Ctenogobiops feroculus,Actinopteri
Echidna nebulosa,Actinopteri
Epinephelus merra,Actinopteri
Paracirrhites arcatus,Actinopteri
Pseudocheilinus hexataenia,Actinopteri
Stegastes nigricans,Actinopteri
Acanthurus nigrofuscus,Actinopteri
Acanthurus triostegus,Actinopteri
Anampses twistii,Actinopteri
Balistapus undulatus,Actinopteri
Centropyge flavissima,Actinopteri
Chaetodon citrinellus,Actinopteri
Chaetodon lunula,Actinopteri
Chaetodon lunulatus,Actinopteri
Chaetodon pelewensis,Actinopteri
Chaetodon reticulatus,Actinopteri
Chaetodon unimaculatus,Actinopteri
Cheilinus chlorourus,Actinopteri
Chlorurus sordidus,Actinopteri
Ctenochaetus striatus,Actinopteri
Fistularia commersonii,Actinopteri
Gomphosus varius,Actinopteri
Halichoeres trimaculatus,Actinopteri
Heniochus chrysostomus,Actinopteri
Monotaxis grandoculis,Actinopteri
Mulloidichthys flavolineatus,Actinopteri
Naso lituratus,Actinopteri
Parupeneus insularis,Actinopteri
Plagiotremus tapeinosoma,Actinopteri
Scarus psittacus,Actinopteri
Thalassoma hardwicke,Actinopteri
Zanclus cornutus,Actinopteri
Zebrasoma scopas,Actinopteri
Neoniphon argenteus,Actinopteri
Plectroglyphidodon lacrymatus,Actinopteri
Sargocentron microstoma,Actinopteri
Stegastes albifasciatus,Actinopteri
Stegastes fasciolatus,Actinopteri
Acanthurus nigricans,Actinopteri
Aulostomus chinensis,Actinopteri
Chaetodon ornatissimus,Actinopteri
Chaetodon vagabundus,Actinopteri
Cheilinus trilobatus,Actinopteri
Chromis viridis,Actinopteri
Ctenochaetus binotatus,Actinopteri
Epibulus insidiator,Actinopteri
Forcipiger flavissimus,Actinopteri
Gnathodentex aureolineatus,Actinopteri
Halichoeres hortulanus,Actinopteri
Melichthys vidua,Actinopteri
Parapercis millepunctata,Actinopteri
Parupeneus multifasciatus,Actinopteri
Parupeneus pleurostigma,Actinopteri
Pomacentrus pavo,Actinopteri
Rhinecanthus aculeatus,Actinopteri
Scarus oviceps,Actinopteri
Stethojulis bandanensis,Actinopteri
Sufflamen bursa,Actinopteri
Saurida gracilis,Actinopteri
Stegastes punctatus,Actinopteri
Zebrasoma veliferum,Actinopteri
Acanthurus olivaceus,Actinopteri
Coris gaimard,Actinopteri
Ctenochaetus flavicauda,Actinopteri
Parupeneus cyclostomus,Actinopteri
Chrysiptera brownriggii,Actinopteri
Dascyllus aruanus,Actinopteri
Acanthurus pyroferus,Actinopteri
Chaetodon mertensii,Actinopteri
Chaetodon ulietensis,Actinopteri
Cheilodipterus quinquelineatus,Actinopteri
Chromis iomelas,Actinopteri
Dascyllus flavicaudus,Actinopteri
Dascyllus trimaculatus,Actinopteri
Diodon hystrix,Actinopteri
Labroides bicolor,Actinopteri
Labroides dimidiatus,Actinopteri
Nectamia fusca,Actinopteri
Ostracion meleagris,Actinopteri
Oxycheilinus unifasciatus,Actinopteri
Acanthurus blochii,Actinopteri
Centropyge bispinosa,Actinopteri
Chromis margaritifer,Actinopteri
Lutjanus fulvus,Actinopteri
Neoniphon sammara,Actinopteri
Scarus altipinnis,Actinopteri
Bodianus axillaris,Actinopteri
Gobiidae sp1,Actinopteri
Mulloidichthys vanicolensis,Actinopteri
Myripristis berndti,Actinopteri
Abudefduf sexfasciatus,Actinopteri
Cephalopholis argus,Actinopteri
Forcipiger longirostris,Actinopteri
Fusigobius neophytus,Actinopteri
Gnatholepis anjerensis,Actinopteri
Labridae sp2,Actinopteri
Lutjanus kasmira,Actinopteri
Myripristis kuntee,Actinopteri
Sargocentron diadema,Actinopteri
Scaridae sp1,Actinopteri
Gobiidae unidentified,Actinopteri
Arothron meleagris,Actinopteri
Chaetodon trifascialis,Actinopteri
Scarus forsteni,Actinopteri
Centropyge loricula,Actinopteri
Macropharyngodon meleagris,Actinopteri
Halichoeres marginatus,Actinopteri
Siganus argenteus,Actinopteri
Valenciennea strigata,Actinopteri
Chaetodon auriga,Actinopteri
Chaetodon ephippium,Actinopteri
Coris aygula,Actinopteri
Hologymnosus doliatus,Actinopteri
Thalassoma lutescens,Actinopteri
Apogon nigrofasciatus,Actinopteri
Chrysiptera glauca,Actinopteri
Gymnothorax javanicus,Actinopteri
Lutjanus rivulatus,Actinopteri
Nemateleotris magnifica,Actinopteri
Parapercis multiplicata,Actinopteri
Pseudocheilinus octotaenia,Actinopteri
Ptereleotris evides,Actinopteri
Acanthurus nigricauda,Actinopteri
Hologymnosus annulatus,Actinopteri
Asterropteryx semipunctata,Actinopteri
Chaetodon trichrous,Actinopteri
Myripristis amaena,Actinopteri
Apogon fraenatus,Actinopteri
Canthigaster valentini,Actinopteri
Centropyge heraldi,Actinopteri
Caracanthus maculatus,Actinopteri
Exallias brevis,Actinopteri
Neocirrhites armatus,Actinopteri
Paracirrhites hemistictus,Actinopteri
Plectroglyphidodon johnstonianus,Actinopteri
Pseudocheilinus tetrataenia,Actinopteri
Sargocentron tiere,Actinopteri
Cephalopholis urodeta,Actinopteri
Chromis acares,Actinopteri
Chromis xanthura,Actinopteri
Cirrhilabrus exquisitus,Actinopteri
Epinephelus fasciatus,Actinopteri
Macropharyngodon ornatus,Actinopteri
Odonus niger,Actinopteri
Pomachromis fuscidorsalis,Actinopteri
Pseudanthias olivaceus,Actinopteri
Pseudojuloides atavai,Actinopteri
Pygoplites diacanthus,Actinopteri
Chromis agilis,Actinopteri
Cirripectes variolosus,Actinopteri
Amanses scopas,Actinopteri
Cantherhines sandwichiensis,Actinopteri
Cephalopholis sexmaculata,Actinopteri
Naso annulatus,Actinopteri
Pseudanthias pascalus,Actinopteri
Synodus binotatus,Actinopteri
Cirrhilabrus scottorum,Actinopteri
Gymnothorax meleagris,Actinopteri
Melichthys niger,Actinopteri
Thalassoma purpureum,Actinopteri
Thalassoma quinquevittatum,Actinopteri
Paracirrhites forsteri,Actinopteri
Plectroglyphidodon dickii,Actinopteri
Abudefduf septemfasciatus,Actinopteri
Cantherhines dumerilii,Actinopteri
Cheilio inermis,Actinopteri
Siganus spinus,Actinopteri
Halichoeres margaritaceus,Actinopteri
Halichoeres ornatissimus,Actinopteri
Carcharhinus melanopterus,Chondrichthyes
Scaridae sp2,Actinopteri
Scaridae sp4,Actinopteri
Carangidae sp1,Actinopteri
Ostracion cubicus,Actinopteri
Labridae sp1,Actinopteri
Lactoria cornuta,Actinopteri
Cetoscarus ocellatus,Actinopteri
Lutjanus bohar,Actinopteri
Myripristis violacea,Actinopteri
Pristiapogon kallopterus,Actinopteri
Scarus frenatus,Actinopteri
Acanthurus thompsoni,Actinopteri
Chlorurus microrhinos,Actinopteri
Pseudocheilinus evanidus,Actinopteri
Canthigaster bennetti,Actinopteri
Pomacanthus imperator,Actinopteri
Scarus schlegeli,Actinopteri
Acanthurus guttatus,Actinopteri
Scarus niger,Actinopteri
Corythoichthys flavofasciatus,Actinopteri
Chaetodon bennetti,Actinopteri
Neoniphon opercularis,Actinopteri
Sargocentron spiniferum,Actinopteri
Aphareus furca,Actinopteri
Cheilinus undulatus,Actinopteri
Naso unicornis,Actinopteri
Parupeneus barberinus,Actinopteri
Parupeneus ciliatus,Actinopteri
Sargocentron punctatissimum,Actinopteri
Hipposcarus longiceps,Actinopteri
Gobiidae sp6,Actinopteri
Naso brevirostris,Actinopteri
Polydactylus sexfilis,Actinopteri
Hemigymnus fasciatus,Actinopteri
Hemitaurichthys polylepis,Actinopteri
Labroides rubrolabiatus,Actinopteri
Pseudodax moluccanus,Actinopteri
Chaetodon quadrimaculatus,Actinopteri
Epinephelus hexagonatus,Actinopteri
Novaculichthys taeniourus,Actinopteri
Sargocentron caudimaculatum,Actinopteri
Scarus tricolor,Actinopteri
Atrosalarias fuscus,Actinopteri
Cheilinus oxycephalus,Actinopteri
Zebrasoma flavescens,Actinopteri
Chromis vanderbilti,Actinopteri
Plectroglyphidodon flaviventris,Actinopteri
Lepidozygus tapeinosoma,Actinopteri
Naso sp1,Actinopteri
Acanthuridae unidentified,Actinopteri
Sebastapistes tinkhami,Actinopteri
Blenniidae sp5,Actinopteri
Scorpaenidae unidentified,Actinopteri
Blenniidae sp6,Actinopteri
Ptereleotris microlepis,Actinopteri
Blenniidae unidentified,Actinopteri
Amphiprion chrysopterus,Actinopteri
Labridae sp3,Actinopteri
Gymnothorax flavimarginatus,Actinopteri
Gobiidae sp5,Actinopteri
Rhinecanthus lunula,Actinopteri
Acanthurus achilles,Actinopteri
Sphyraena sp1,Actinopteri
Gobiodon quinquestrigatus,Actinopteri
Aluterus scriptus,Actinopteri
Chromis atripectoralis,Actinopteri
Canthigaster sp1,Actinopteri
Caranx melampygus,Actinopteri
Paragobiodon echinocephalus,Actinopteri
Naso hexacanthus,Actinopteri
Cantherhines pardalis,Actinopteri
Gobiidae sp2,Actinopteri
Carangidae unidentified,Actinopteri
Scaridae sp3,Actinopteri
Pseudanthias mooreanus,Actinopteri
Arothron hispidus,Actinopteri
Balistoides viridescens,Actinopteri
Balistidae sp1,Actinopteri
Pristiapogon exostigma,Actinopteri
Thalassoma amblycephalum,Actinopteri
Scorpaenopsis diabolus,Actinopteri
Pterois antennata,Actinopteri
Gobiidae sp7,Actinopteri
Acanthurus lineatus,Actinopteri
Gobiidae sp4,Actinopteri
Gymnomuraena zebra,Actinopteri
Asterropteryx striata,Actinopteri
Gobiidae sp3,Actinopteri
Grammistes sexlineatus,Actinopteri
Synanceia verrucosa,Actinopteri
Lethrinus xanthochilus,Actinopteri
Anampses caeruleopunctatus,Actinopteri
Naso vlamingii,Actinopteri
Thalassoma trilobatum,Actinopteri
Asterropteryx ensifera,Actinopteri
Pterois radiata,Actinopteri
Bothus mancus,Actinopteri
Pseudobalistes flavimarginatus,Actinopteri
Aspidontus taeniatus,Actinopteri
Bryaninops tigris,Actinopteri
Naso brachycentron,Actinopteri
Platax orbicularis,Actinopteri
Myripristis murdjan,Actinopteri
Centropyge multifasciata,Actinopteri
Sebastapistes cyanostigma,Actinopteri
Abudefduf sordidus,Actinopteri
Lethrinus olivaceus,Actinopteri
Cheilodipterus macrodon,Actinopteri
Pogonoperca punctata,Actinopteri
Sebastapistes strongia,Actinopteri
Anampses meleagrides,Actinopteri
Synchiropus ocellatus,Actinopteri
Scaridae sp5,Actinopteri
Scaridae sp6,Actinopteri
Calotomus carolinus,Actinopteri
Labridae unidentified,Actinopteri
Paragobiodon modestus,Actinopteri
Cirrhitichthys oxycephalus,Actinopteri
Gobiidae sp8,Actinopteri
Osteichthyes unidentified,Insecta
Paragobiodon lacunicolus,Actinopteri
Rhinecanthus rectangulus,Actinopteri
Scarus globiceps,Actinopteri
Scaridae sp7,Actinopteri
Cephalopholis microprion,Actinopteri
Scarus ghobban,Actinopteri
Gobiidae sp9,Actinopteri
Ptereleotris monoptera,Actinopteri
Chlorurus frontalis,Actinopteri
Scomberoides lysan,Actinopteri
Scarus rubroviolaceus,Actinopteri
Amblyeleotris fasciata,Actinopteri
Oxycheilinus lineatus,Actinopteri
Caranx sexfasciatus,Actinopteri
Gymnothorax buroensis,Actinopteri
Amblygobius nocturnus,Actinopteri
Ptereleotris heteroptera,Actinopteri
Caranx ignobilis,Actinopteri
Echeneis naucrates,Actinopteri
Sphyraena qenie,Actinopteri
Scaridae sp8,Actinopteri
Acanthurus nigroris,Actinopteri
Hyporhamphus affinis,Actinopteri
Ostorhinchus angustatus,Actinopteri
Chanos chanos,Actinopteri
Variola louti,Actinopteri
Anampses melanurus,Actinopteri
Scorpaenopsis papuensis,Actinopteri
Triaenodon obesus,Chondrichthyes
Aprion virescens,Actinopteri
Holocentridae sp1,Actinopteri
Aspidontus dussumieri,Actinopteri
Taenianotus triacanthus,Actinopteri
Synodus variegatus,Actinopteri
Cheilopogon simus,Actinopteri
Acrocephalus schoenobaenus,Aves
Alauda arvensis,Aves
Anthus pratensis,Aves
Buteo buteo,Aves
Corvus corax,Aves
Corvus corone,Aves
Cuculus canorus,Aves
Gallinula chloropus,Aves
Haematopus ostralegus,Aves
Hirundo rustica,Aves
Motacilla alba,Aves
Oenanthe oenanthe,Aves
Prunella modularis,Aves
Pyrrhocorax pyrrhocorax,Aves
Saxicola torquata,Aves
Turdus merula,Aves
Vanellus vanellus,Aves
Acanthis cannabina,Aves
Rallus aquaticus,Aves
Crex crex,Aves
Falco peregrinus,Aves
Sylvia communis,Aves
Anas platyrhynchos,Aves
Erithacus rubecula,Aves
Sturnus vulgaris,Aves
Emberiza schoeniclus,Aves
Corvus monedula,Aves
Gallinago gallinago,Aves
Columba oenas,Aves
Anas strepera,Aves
Anas discors,Aves
Anas crecca,Aves
Bucephala albeola,Aves
Anas americana,Aves
Anas clypeata,Aves
Anas acuta,Aves
Oxyura jamaicensis,Aves
Aythya valisineria,Aves
Aythya americana,Aves
Aythya affinis,Aves
Aythya collaris,Aves
Bonasa bonasia,Aves
Lagopus lagopus,Aves
Tetrao tetrix,Aves
Tetrao urogallus,Aves
Martes martes,Mammalia
Mustela erminea,Mammalia
Vulpes vulpes,Mammalia
Blarina transitans,Mammalia
Clethrionomys gapperi,Mammalia
Napaeozapus insignis,Mammalia
Peromyscus spec,Mammalia
Tamias striatus,Mammalia
Perognathus flavus,Mammalia
Dipodomys merriami,Mammalia
Spermophilus spilosoma,Mammalia
Onychomys leucogaster,Mammalia
Onychomys arenicola,Mammalia
Dipodomys ordii,Mammalia
Neotoma albigula,Mammalia
Peromyscus truei,Mammalia
Reithrodontomys megalotis,Mammalia
Dipodomys spectabilis,Mammalia
Perognathus flavescens,Mammalia
Chaetodipus intermedius,Mammalia
Peromyscus leucopus,Mammalia
Peromyscus boylii,Mammalia
Peromyscus eremicus,Mammalia
Peromyscus difficilis,Mammalia
Ammospermophilus interpres,Mammalia
Eutamias dorsalis,Mammalia
Neotoma micropus,Mammalia
Peromyscus maniculatus,Mammalia
Eutamias quadrivittatus,Mammalia
Reithrodontomys montanus,Mammalia
Ammospermophilus leucurus,Mammalia
remi ,Monogenea
Onychomys spec,Mammalia
Sigmodon hispidus,Mammalia
Ambloplites rupestris,Actinopteri
Cottus bairdii,Actinopteri
Esox lucius,Actinopteri
Esox masquinongy,Actinopteri
Etheostoma nigrum,Actinopteri
Lepomis gibbosus,Actinopteri
Lepomis macrochirus,Actinopteri
Luxilus cornutus,Actinopteri
Micropterus dolomieu,Actinopteri
Micropterus salmoides,Actinopteri
Notemigonus crysoleucas,Actinopteri
Notropis heterolepis,Actinopteri
Notropis volucellus,Actinopteri
Perca flavescens,Actinopteri
Percina caprodes,Actinopteri
Pimephales notatus,Actinopteri
Pomoxis nigromaculatuss,Actinopteri
Stizostedion vitreum,Actinopteri
Umbra pygmaea,Actinopteri
Etheostoma exile,Actinopteri
Ameiurus natalis,Actinopteri
Etheostoma ,Actinopteri
Coregonus artedi,Actinopteri
Salvelinus namaycush,Actinopteri
Cyprinus carpio,Actinopteri
Ictiobus cyprinellus,Actinopteri
Labidesthes sicculus,Actinopteri
Morone chrysops,Actinopteri
Pimephales promelas,Actinopteri
Pomoxis ,Actinopteri
Pomoxis annularis,Actinopteri
Aplodinotus grunniens,Actinopteri
Lepisosteus ferruginea,Actinopteri
Lota lota,Actinopteri
Ameiurus melas,Actinopteri
Nocomis biguttatus,Actinopteri
Notropis heterodon,Actinopteri
Notropis rubellus,Actinopteri
Percopsis omiscomaycus,Actinopteri
Moxostoma macrolepidotum,Actinopteri
Semotilus atromaculatus,Actinopteri
Notropis ,Actinopteri
Notropis hudsonius,Actinopteri
Ameiurus nebulosus,Actinopteri
Osmerus mordax,Actinopteri
Coregonus clupeaformis,Actinopteri
Mola mola,Actinopteri
Phoxinus eos,Actinopteri
Cyprinella spiloptera,Actinopteri
Lepomis fuscotomento,Actinopteri
Notropis atherinoides,Actinopteri
Culaea inconstans,Actinopteri
Etheostoma flabellare,Actinopteri
Amia calva,Actinopteri
Salvelinus fontinalis,Actinopteri
Phoxinus neogaeus,Actinopteri
Fundulus diaphanus,Actinopteri
Moxostoma anisurum,Actinopteri
Sebastes maliger,Actinopteri
Lepomis megalotis,Actinopteri
Scaphirhynchus platorynchus,Actinopteri
Hybognathus hankinsoni,Actinopteri
Ictalurus punctatus,Actinopteri
Morone mississippiensis,Actinopteri
Pungitius pungitius,Actinopteri
Hypentelium nigricans,Actinopteri
Esox americanus,Actinopteri
Ictiobus bubalus,Actinopteri
Moxostoma valenciennesi,Actinopteri
Lepomis gulosus,Actinopteri
Fundulus notatus,Actinopteri
Cottus cognatus,Actinopteri
Moxostoma erythrurum,Actinopteri
Poecilia reticulata,Actinopteri
Acipenser fulvescens,Actinopteri
Vireo altiloquus,Aves
Parula americana,Aves
Nesospingus speculiferus,Aves
Coereba flaveola,Aves
Margarops fuscatus,Aves
Todus mexicanus,Aves
Turdus plumbeus,Aves
Chlorostilbon maugeanus,Aves
Patagioenas squamosa,Aves
Loxigilla portoricensis,Aves
Melanerpes portoricensis,Aves
Geotrygon montana,Aves
Spindalis zena,Aves
Coccyzus vieilloti,Aves
Buteo platypterus,Aves
Myiarchus antillarum,Aves
Euphonia elegantissima,Aves
Zenaida asiatica,Aves
Parkesia noveboracensis,Aves
Tyrannus dominicensis,Aves
Anthracothorax viridis,Aves
Buteo jamaicensis,Aves
Dendroica magnolia,Aves
Crotophaga ani,Aves
Contopus latirostris,Aves
Dendroica stirata,Aves
Ammospermophilus harrisi,Mammalia
Onychomys torridus,Mammalia
Chaetodipus penicillatus,Mammalia
Dipodomys spec,Mammalia
Reithrodontomys fulvescen,Mammalia
Campylorhynchus brunneica,Aves
Sceloporus undulatus,Lepidosauria
Chaetodipus baileyi,Mammalia
Chaetodipus hisipdus,Mammalia
Sylvilagus audubonii,Mammalia
Pooecetes gramineus,Aves
Amphispiza bilineata,Aves
Pipilio chlorurus,Actinopteri
Sigmodon fulviventer,Mammalia
Sigmodon ochrognathus,Mammalia
Crotalus scutalatus,Lepidosauria
Libellula quadrimaculata,Insecta
Ischnura elegans,Insecta
Sympetrum striolatum,Insecta
Coenagrion puella,Insecta
Lestes sponsa,Insecta
Haematopus moquini,Aves
